1010 AAAAABBBBAAAA
00110011111011100010100100111000001100110000011100110011011000 ABAABABAABAAABAABBBBABBABBBBBAAABABBBBBAAABBBBBBBABBBABBBBBBABBABAAAABBAABBBBAAABABBAABAAAABBBBBBBABBAAAAAAABBAABABBABABABAAAA
11101110100101111011000011001001010100111001011000111101111101011011001011000001111010101001100 AAABABABABBBBBBBBBBABBABABAABAABAABBAABBBAAABBBAAAAAABABBBAAAAABBAABBAABAABAABBAAABBBBAAAAABAAABABABBBABABAABBAAAA
100011001101010011110011111001011 BBBBBAAAAAAAAAAABBBBBBBBAAAAABBBBBAABBBBBAAAAAABBBBAAAAABBBAABBBBBBAAAAAAAAAABBBBBAAAAAAAAAAAAAAAAAABBBBBAAAAABBBBBBAAAAAA
00001001000011100110110011100011011111000010000001111010000110111001110110011111111000000110100100001101100110100100001111111000001111 AAAAAAAAAAAAAABBBBBAAAAAAAAAABBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBAAAAAAABBBBBBAAAAAAAAAAAAAAAAAAAABBBBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBAAAAABBBBABBAAAAAAAAAAABBBBBBBBBAAAAABBBBBAAAAAAAAAAAAABBBBAAAABBBBBBAAAAAAAAAAAABBBBBBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBAAAAAAAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAABBBBBBBBBBAAAAAAAAAAAABBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAABBBBBBAAA
01100010111001010101000000101000000011111100110001101010011111101011110001101000 BAABAAABAABAAAAABABABAAABBAAABABBAABBABABBBAABABBABAABBABBAAABBBABBBBABBBBBBBABBAAABBAAB
11011010000010010000111001011000011001111100011011011101011101110010011100011110101010111000110100001010100111111001110110110011111011111001000100 BBBBABAABBABBBAABABBBABABAABBBAAAAAABBBAAABBABABBBBAAABAAAABAABBABABBABBABAABBABABBBBABAAABAABAABBBBBBBBABBAABBABBABAABBBAABAABBAABABABAABABAAABAB
0101100000110111111110110111111000000010111000110111110000000011110011000111100011000011011111100100011110010100001111000111100110 AABBBABBBAABABABBAABABAABBAAABBAABBABBABBABBAABBAABBBBAAAAABBABABABBABABBAAABABAABBBAAAAAAABBAAAAABABAAABBBABBABBABBAAAABABAABABAAABBB
10011010111100100010101001110000110001000101 AAAABBBBBABABAAABABAABAAAABABABAABABAABABAAABABBABBBAABBABAABABAABBBAABBBAAA
01 BBBBBAAAAAAA
100101010101111101001000011011101111010101011101001100000100001011110110011011000010 BBBBAAABBAAAAAAAAAAABBBBBBAAAAABBBAAAAABBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAABBBBBBBBBAAAAABBBBBBBBBBBBBBAAAAAABAAAAAAAAAAAAAAAAABBBAAAABBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBAAAAAAAAAAAAAAAABBBBAAAAAAAAAAABBBBBBAAAAAABBBBBBBBAABBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
110000101111001110011111100000111011100001011100100001100111110111101001110111000110001100000111010011101010010101100010001000000101000101100000111111 BABABABBAAAAABBBABBAAAAAABAABBBBABAABAABABBAABABBBBBBAABAAABABAABBABBABABAABABABABAABBAAABBAAABBAAABABAAABAAABBABBAABAABAAAAABAABBBABABBAABBBBAAAABBAAABAAABAABBBAB
0001110010101000001110011000110110101010010011111011111011000011000000000110000101110011111101110010101111010101001010001010001110010011110 AAABBBBABAABBBABBBABABABBABBAAABBBABBBABABBAAAAABABAABABBBBBBBBBBABABBBBBABABAAAAAAABBAABBBBBBBBAABAAABABAAAAAAAAAAAABAAAABAAAABBBBAAABBABABBBAAABA
000100111000110011101 BAAABBBAAAABBBBAAAABAB
0011101 BBAAAABBABBBBBABAABAAABAABBBABBAAAAAAAAABBAABBAABBAAABBAA
0011100100000111110001101110110110101001101110011100000000000010100100000001010101011111111100001010111111010000110111001101100001100111001101 BBAABABAABBBAAAABBABBABBAAABABBBAAAABABAABABAAAABABABABBBBABBAAABBBAAABABABBBAABBAABBAABBABBAABABBBBABBAAAABBBBABABABABBAABBAABBBAAABABAABABBABBABAAAABBAABBAA
010010011010 AAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAAAABBBA
1001011011000000101000110 ABABBBAABAAAAABBABBBABABBAAAABAAABAAABAABAAAABABBABBBBAAAAAAAAAABBBAABAAAABBAAAAABABBAAAAABABBBBAAABAABBBBAABAAAABBBBABABABABBABABBBAABBBBBBAABABABBBAABABABBAA
110110110000101101101100000010001001001110011111011100011011 AAABBAAABBBBAAABAABBBBBBBABBAABBBBBABBAAABBBABBBBBAABABABAAABABBAA
00110010000000011101001010101011100010100101011 AAAAAAAAAAAABBBBBBBBAAAAAAAAAAAAAAAAAAAAAAAAABBBBBAAAAAAAAAAAAAABBBBAAAAAAABBBBAAAAAAAAAABBBBBAAABBBBBBAAAAAAAAABBBBAAAAAAAAAAAAAAAAAAAAABBAAAAAAAAAABBBBBAAAAAAABBBBA
1 B
00110 AAAABBAA
0111010010101101111010100010010101110111011000001000001101001000011011011100010010101100111110101010000 BABBABBABBBBABABBABBBBAAAAAAAAAABBABBBBBABABBABBAAABBAAAAAABBBABBAAABBBAAAABABAAAAAAABAAAAABBBAABAAAABB
01011111111011000010110001010100110110101000001101000010101000001010111011110111100 ABBBAABBAABBBAAAABBBBBBBBBABAABAABAABAABBBBBBAABBBAABBAAABBAABAAABBABBAAABBABAABAABAABAA
00010111010001011110100111101101110100001111101000100010010111110100011110101011100111001010000010010111100111110101 AABABAAABBABABAABAAAABABBBAABBABBABABBAABBAABBABAABABBBAAAABBBBAAABABABBABABBABABABBBBAABAAAAAABBAABBAABBABBBBABBBAA
0000 AAA
11101111101101111010010110110011110100011010111100101010001011010101011111101000000000001101000101000010001011011 ABBBBBBBAAABBAAAABABBBBABBBABBBBBAABBAAABBBBABBBAABBBBBAABAAABBABABAAABAABBBBABAABAABBBABBAAAAAAAABAAAABBBABAABBB
010110111100011100011110010 AAAAAAAAAAABBBBBBBAAABBBBBBBBBBBBBBAAAAAAAAAAAAAABBBBAABBBBBBAAAAAAAAAAAABBAAAAAAAAAAAAAAAAABBBBBA
100000011111001110100100011100011001010110101000001011110111001011100010000100000110010000110101010101000001100100 ABAAABBBAAABABAABBBABABAABBAABAABBBABBBBABBABBAABBBABAABAABBBAAABBAABBBAABABABBAAABABBBABAABAAABAAAABBBABBABAAAABBABBBBBBBABAABBBBBBB
011101111011011111110111100010001001011001110011010010111000000110101000010010010110010010110000111101111111100010101101011000001111000 BAAABBBAABBBABBABBBAABBAAAABBABABBAABABBAABBBBBBBBBABBBAABAAABBAABABBBBABBBAAAAAAABABBBAABABBBAAAABBBAABBABBBAABABAAABAAABBBBABBABAAAAAB
10000101110111101111111110111110111100101100101010001001110011000001100100100100100000010100011110001000111111000001100010111111110101 ABABAABABABBBBABAABBAABABAABBAAABBBBAABABBAAAAABAAAAABABABABAABBABBAAABAABBAABAAAABAABBBBAAABAAAAAAAABBAABABABBBABABABBBABBBAABABBABAB
10101111100100001111000001011000010101101110001000101001011110110011001011000101110 AABBAAABBBABABAABBBAAAABBABAAAAAABABBBAABABABBABBABAABBAAAABABBBBBABAAABABBABABABBA
01 AAAA
1010101110110010101110111000111011011111101101111001111000011010011011000111110011010011 AAAAAAAAAAAAAAAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAABBBAAAAAAAAAAAAAAAAABBBAAABBBBBBAAAAAAAAAAAAAAAAAAAAABBBBBBBBAAAAAABBBBBAABAAAAABAAAAAAAABBBBBBABBBBBBBBBBBBBBAAAAAAABBBBBBBAAAABBBBBAAAAAAAAAAAAABBBBBBBAAAAAABAAAAAAAABBBBAAAAAABBBAAAAAAAAAAAAAAAAAAABAAAAAABAAAAAAAABBBBBAAAAAAAAAAAAAAAAAAAAAAAB
0000 AAAA
000110110110010000100000111000110011111010001 AABBBAABBABAABBABABAAAAABAABBABABAAAABABAAABBABAABAABBA
1 BBBBBBAAAAAA
0001011010100010111100111011101010000110011110010111010110011011111110101111100101000010111101101101011111110001 BAAABAAABABABABABAABABBBABABBBBAABABBBABBBABAAABBAAAABABBAABBBABABBBBAABAABABAAABAABABABBBAABBAAAAABAABABAABBBBB
0101 BABABABBBAABAABBBABBBAABBABBAAAAAAA
10 BBBBBAAAAAAA
